Tag,FICA4601AA,FICA4603AA,TICA4101AC,FICA4101AC,FICA4102AC,ISCA5501AA,A5601_CDE_FORC_COUTEAU
,Flow from hydrocycl1 A4601 (Column 1) to tank A5001,Flow from hydrocycl1 A4603 (Column 2) to tank A5001,Temperature bicarb1ate from Column 1,Direct flow from Column 1 to tank A5001,Direct flow from Column 2 to tank A5001,Status of agitator in tank A5001,Forced moving of cleaner blade in centrifuge - A5601
12/1/17 0:00,3.084736347,3.603473663,67.42534637,23.58773804,23.35652351,1,Null
12/1/17 0:05,3.026164293,4.924383163,67.42534637,23.06841469,17.61572647,1,Null
12/1/17 0:10,15.01458836,2.967960119,67.42534637,25.68759727,21.5463829,1,Null
12/1/17 0:15,3.453973532,2.964725971,67.42534637,21.60227585,24.2540493,1,Null
12/1/17 0:20,3.30728364,2.961491823,67.42534637,24.5631218,25.62546349,1,Null
12/1/17 0:25,3.16059351,2.958257675,67.42534637,22.51179886,23.50535393,1,Null
12/1/17 0:30,jimmy,2.955023766,67.42534637,21.5535202,22.42137527,1,Null
12/1/17 0:35,3.048620224,3.384344101,67.42534637,24.12174606,22.90222168,1,Null
12/1/17 0:40,3.048620224,leo,67.42534637,25.73468208,18.14409828,1,Null
12/1/17 0:45,16.33917809,3.139779806,67.42534637,22.26660538,21.39020538,1,Null
12/1/17 0:50,3.88986969,3.032435656,andreina,19.94480896,22.76221085,1,Null
12/1/17 0:55,3.434397936,3.031501293,67.42534637,22.12729454,21.16107368,1,Null
12/1/17 1:00,3.333203077,3.030566931,67.42534637,23.06891251,20.54003525,1,Null
12/1/17 1:05,3.23200798,3.029632807,67.42534637,ciiencia,21.7646637,1,Null
12/1/17 1:10,3.130813122,3.568790436,67.42534637,22.46941185,22.6603775,1,Null
12/1/17 1:15,3.029618263,4.726733208,67.42534637,24.8103466,19.29540062,1,Null
12/1/17 1:20,15.39849186,2.95928216,67.42534637,22.38992882,23.19231606,1,Null
12/1/17 1:25,3.453616858,2.987125635,67.42534637,22.73557663,texto,1,Null
12/1/17 1:30,3.379856586,3.014968872,67.42534637,19.68174744,21.22633553,1,Null
12/1/17 1:35,3.306096315,3.042812347,67.42534637,23.83187103,23.71687889,1,Null
12/1/17 1:40,3.232336044,3.070655823,67.42534637,23.25474358,24.30560303,1,Null
12/1/17 1:45,3.158575773,3.545633316,67.42534637,25.22725868,22.53618813,1,Null
12/1/17 1:50,3.084815502,4.953238487,67.42534637,23.23141098,17.87145042,hola,Null
12/1/17 1:55,14.53030205,2.948223114,67.42534637,25.28202057,21.40610313,1,Null
12/1/17 2:00,3.616217852,2.946608543,67.42534637,19.97775459,22.50806236,1,Null
12/1/17 2:05,3.402055502,2.944994211,67.42534637,21.89504242,23.85977745,1,Null
12/1/17 2:10,3.301943541,2.943379641,67.42534637,23.00750351,26.54343033,1,Null
12/1/17 2:15,3.201831579,2.94176507,67.42534637,23.03270912,25.37059784,1,casa
12/1/17 2:20,3.101719618,3.355493546,67.42534637,27.19243813,22.59097099,1,Null
12/1/17 2:25,3.001607656,4.698400497,67.42534637,24.42264557,19.77482986,1,Null
12/1/17 2:30,14.70316029,3.163159847,67.42534637,22.46365547,21.65093422,1,Null
12/1/17 2:35,3.380100727,3.10754323,67.42534637,21.54259682,25.42914009,1,Null
12/1/17 2:40,3.286908627,3.051926613,67.42534637,23.04320335,23.10248756,1,Null
12/1/17 2:45,3.193716764,2.996309757,67.42534637,24.22323036,25.3811779,1,Null
12/1/17 2:50,3.100524902,2.94069314,67.42534637,25.79645157,25.73368835,1,Null
12/1/17 2:55,3.007332802,3.453567266,67.42534637,28.88956833,26.04087067,1,Null
12/1/17 3:00,2.91414094,5.071790695,67.42534637,22.39750099,20.347435,1,Null
12/1/17 3:05,14.78650188,3.031227112,67.42534637,22.17985725,23.78173637,1,Null
12/1/17 3:10,3.546796322,3.027675152,67.42534637,21.08189201,23.55929184,1,Null
12/1/17 3:15,3.270312309,3.02412343,67.42534637,21.16695213,22.70736504,1,Null
12/1/17 3:20,3.200057268,3.020571709,67.58783722,24.04983521,25.57079506,1,Null
12/1/17 3:25,3.129802227,3.017019987,67.80353546,23.14982414,26.17952347,1,Null
12/1/17 3:30,3.059547424,3.304708004,67.93079376,25.41826439,24.85349846,1,Null
12/1/17 3:35,2.989292383,4.501055717,67.93079376,24.54138184,21.51141739,1,Null
12/1/17 3:40,16.22047424,2.997342587,67.93079376,23.88946342,22.3217659,1,Null
12/1/17 3:45,4.057762146,2.999404907,67.93079376,21.01315689,24.66065025,1,Null
12/1/17 3:50,3.290389061,3.001467228,67.93079376,22.73104477,25.02840233,1,Null
12/1/17 3:55,3.048563004,3.003529549,67.93079376,19.67210388,23.66353226,1,Null
